livro;autor
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)";J.K. Rowling
The Hobbit or There and Back Again;J.R.R. Tolkien
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1);C.S. Lewis
The Hunger Games (The Hunger Games, #1);Suzanne Collins
The Lord of the Rings (The Lord of the Rings, #1-3);J.R.R. Tolkien
Alice in Wonderland;Jane Carruth
Dune (Dune Chronicles, #1);Frank Herbert
The Final Empire (Mistborn, #1);Brandon Sanderson
The Lightning Thief (Percy Jackson and the Olympians, #1);Rick Riordan
1984;George Orwell
A Clash of Kings  (A Song of Ice and Fire, #2);George R.R. Martin
The Golden Compass (His Dark Materials, #1);Philip Pullman
"The Handmaid's Tale";Margaret Atwood
"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)";Douglas Adams
The Little Prince;Antoine de Saint-Exupéry
The Chronicles of Narnia (Chronicles of Narnia, #1-7);C.S. Lewis
Archibald Finch and the Lost Witches (Book 1, illustrated);Michel Guyon
The Giver (The Giver, #1);Lois Lowry
The Way of Kings (The Stormlight Archive, #1);Brandon Sanderson
The Wonderful Wizard of Oz (Oz, #1);L. Frank Baum
Ready Player One;Ernest Cline
Fahrenheit 451;Ray Bradbury
Neverwhere (London Below, #1);Neil Gaiman
"Alice's Adventures in Wonderland & Through the Looking-Glass";Lewis Carroll
A Wrinkle in Time (Time Quintet, #1);"Madeleine L'Engle"
The Name of the Wind (The Kingkiller Chronicle, #1);Patrick Rothfuss
Divergent (Divergent, #1);Veronica Roth
Harry Potter and the Order of the Phoenix (Harry Potter, #5);J.K. Rowling
City of Bones (The Mortal Instruments, #1);Cassandra Clare
"Ender's Game (Ender's Saga, #1)";Orson Scott Card
Six of Crows (Six of Crows, #1);Leigh Bardugo
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8);Robert Jordan
Shadow and Bone (The Shadow and Bone Trilogy, #1);Leigh Bardugo
"Gulliver's Travels";Jonathan Swift
American Gods (American Gods #1);Neil Gaiman
The Gunslinger (The Dark Tower, #1);Stephen King
The Colour of Magic (Discworld, #1);Terry Pratchett
A Darker Shade of Magic (Shades of Magic, #1);V.E. Schwab
The Night Circus;Erin Morgenstern
Cinder (The Lunar Chronicles, #1);Marissa Meyer
Lord of the Flies;William Golding
Watership Down (Watership Down, #1);Richard  Adams
Brave New World;Aldous Huxley
A Game of Villains (World of Karik, #1);Anton Emelianov
A Song of Ice and Fire (A Song of Ice and Fire, #1-5);George R.R. Martin
Graceling (Graceling Realm, #1);Kristin Cashore
"Howl's Moving Castle (Howl's Moving Castle, #1)";Diana Wynne Jones
Inkheart (Inkworld, #1);Cornelia Funke
The Phantom Tollbooth;Norton Juster
The Neverending Story;Michael Ende
The BFG;Roald Dahl
Twilight (Twilight, #1);Stephenie Meyer
The Left Hand of Darkness (Hainish Cycle #4);Ursula K. Le Guin
A Court of Thorns and Roses (A Court of Thorns and Roses, #1);Sarah J. Maas
A Wizard of Earthsea (Earthsea Cycle, #1);Ursula K. Le Guin
Eragon (The Inheritance Cycle, #1);Christopher Paolini
The Lies of Locke Lamora (Gentleman Bastard, #1);Scott Lynch
Stardust;Neil Gaiman
Sabriel;Garth Nix
Do Androids Dream of Electric Sheep? (Blade Runner, #1);Philip K. Dick
Harry Potter and the Chamber of Secrets (Harry Potter, #2);J.K. Rowling
Redwall (Redwall, #1);Brian Jacques
Jonathan Strange & Mr Norrell;Susanna Clarke
Dragonflight (Dragonriders of Pern, #1);Anne McCaffrey
The Maze Runner (The Maze Runner, #1);James Dashner
City of Ashes (The Mortal Instruments, #2);Cassandra Clare
Magician: Apprentice (The Riftwar Saga, #1);Raymond E. Feist
Dark Lover (Black Dagger Brotherhood, #1);J.R. Ward
Alanna: The First Adventure (Song of the Lioness, #1);Tamora Pierce
A Canticle for Leibowitz (St. Leibowitz, #1);Walter M. Miller Jr.
"Old Man's War (Old Man's War, #1)";John Scalzi
The Princess Bride;William Goldman
Neuromancer (Sprawl, #1);William Gibson
Nine Princes in Amber (The Chronicles of Amber #1);Roger Zelazny
Magic Bites (Kate Daniels, #1);Ilona Andrews
"Kushiel's Dart (Phèdre's Trilogy, #1)";Jacqueline Carey
The High King (The Chronicles of Prydain #5);Lloyd Alexander
Pyramids (Discworld, #7);Terry Pratchett
Ship of Magic (Liveship Traders, #1);Robin Hobb
City of Lost Souls (The Mortal Instruments, #5);Cassandra Clare
Lover Awakened (Black Dagger Brotherhood, #3);J.R. Ward
The Host (The Host, #1);Stephenie Meyer
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)";Ransom Riggs
Rendezvous with Rama (Rama, #1);Arthur C. Clarke
Leviathan Wakes (The Expanse, #1);James S.A. Corey
Throne of Glass (Throne of Glass, #1);Sarah J. Maas
Angelfall (Penryn & the End of Days, #1);Susan Ee
The Fifth Season (The Broken Earth, #1);N.K. Jemisin
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch;Terry Pratchett
The Dispossessed (Hainish Cycle #6);Ursula K. Le Guin
adventures of wallanders;Alex Letner
The Once and Future King (The Once and Future King, #1-4);T.H. White
The Foundation Trilogy (Foundation, #1-3);Isaac Asimov
The Octunnumi Fosbit Files Prologue;Trevor Alan Foris
Snow Crash;Neal Stephenson
Written in Red (The Others, #1);Anne Bishop
The Ship Who Sang (Brainship, #1);Anne McCaffrey
The Voyage of the Dawn Treader (Chronicles of Narnia, #3);C.S. Lewis
A Face Like Glass;Frances Hardinge
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien
