Harry Potter and the Sorcerer's Stone (Harry Potter, #1),134,9
The Hobbit or There and Back Again,28,2
The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1),174,8
The Hunger Games (The Hunger Games, #1),271,6
The Lord of the Rings (The Lord of the Rings, #1-3),193,10
Alice in Wonderland,330,8
Dune (Dune Chronicles, #1),1000,0
The Final Empire (Mistborn, #1),49,10
The Lightning Thief (Percy Jackson and the Olympians, #1),71,10
1984,173,7
A Clash of Kings  (A Song of Ice and Fire, #2),13,8
The Golden Compass (His Dark Materials, #1),1000,1
The Handmaid's Tale,280,10
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5),48,10
The Little Prince,243,10
The Chronicles of Narnia (Chronicles of Narnia, #1-7),125,5
Archibald Finch and the Lost Witches (Book 1, illustrated),201,7
The Giver (The Giver, #1),201,9
The Way of Kings (The Stormlight Archive, #1),231,9
The Wonderful Wizard of Oz (Oz, #1),125,8
Ready Player One,141,8
Fahrenheit 451,32,8
Neverwhere (London Below, #1),316,8
Alice's Adventures in Wonderland & Through the Looking-Glass,44,8
A Wrinkle in Time (Time Quintet, #1),142,10
The Name of the Wind (The Kingkiller Chronicle, #1),1000,1
Divergent (Divergent, #1),167,10
Harry Potter and the Order of the Phoenix (Harry Potter, #5),191,8
City of Bones (The Mortal Instruments, #1),141,8
Ender's Game (Ender's Saga, #1),126,9
Six of Crows (Six of Crows, #1),204,9
The Wheel of Time: Boxed Set  (Wheel of Time, #1-8),198,10
Shadow and Bone (The Shadow and Bone Trilogy, #1),32,8
Gulliver's Travels,330,10
American Gods (American Gods #1),39,7
The Gunslinger (The Dark Tower, #1),71,7
The Colour of Magic (Discworld, #1),127,8
A Darker Shade of Magic (Shades of Magic, #1),219,10
The Night Circus,48,10
Cinder (The Lunar Chronicles, #1),288,9
Lord of the Flies,164,10
Watership Down (Watership Down, #1),106,5
Brave New World,120,10
A Game of Villains (World of Karik, #1),126,9
A Song of Ice and Fire (A Song of Ice and Fire, #1-5),1000,0
Graceling (Graceling Realm, #1),12,2
Howl's Moving Castle (Howl's Moving Castle, #1),135,8
Inkheart (Inkworld, #1),49,10
The Phantom Tollbooth,346,8
The Neverending Story,1000,1
The BFG,377,10
Twilight (Twilight, #1),112,9
The Left Hand of Darkness (Hainish Cycle #4),161,8
A Court of Thorns and Roses (A Court of Thorns and Roses, #1),1000,1
A Wizard of Earthsea (Earthsea Cycle, #1),331,4
Eragon (The Inheritance Cycle, #1),253,8
The Lies of Locke Lamora (Gentleman Bastard, #1),433,8
Stardust,248,7
Sabriel,317,9
Do Androids Dream of Electric Sheep? (Blade Runner, #1),127,10
Harry Potter and the Chamber of Secrets (Harry Potter, #2),225,10
